x,y,z
-55.7283,63.2405,-42.9147
-55.0897,63.2405,-44.0249
-55.6493,63.2405,-45.1352
-56.9288,63.2405,-45.1352
-56.2891,-3.23822,-37.443
-56.2891,63.2405,-44.0249
-37.9374,61.6896,20.2599
-40.7428,61.6826,20.2599
-40.7428,61.6826,21.121
-37.9374,61.6896,21.121
-42.1396,59.2497,20.2599
-42.1396,59.2497,21.121
-40.7309,56.8236,20.2599
-40.7309,56.8236,21.121
-37.9255,56.8305,20.2599
-37.9255,56.8305,21.121
-36.5288,59.2635,20.2599
-36.5288,59.2635,21.121
-40.1658,60.6888,22.9337
-38.5096,60.6929,22.9337
-40.9904,59.2525,22.9337
-40.1587,57.8202,22.9337
-38.5025,57.8243,22.9337
-37.678,59.2606,22.9337
-40.1658,60.6888,23.442
-38.5096,60.6929,23.442
-40.9904,59.2525,23.442
-40.1587,57.8202,23.442
-38.5025,57.8243,23.442
-37.678,59.2606,23.442
-40.1658,60.6888,23.9504
-38.5096,60.6929,23.9504
-40.9904,59.2525,23.9504
-40.1587,57.8202,23.9504
-38.5025,57.8243,23.9504
-37.678,59.2606,23.9504
-40.7428,63.2544,24.2175
-37.9374,63.2657,24.2175
-42.1396,59.2497,24.5651
-40.7309,55.2474,24.2175
-37.9255,55.2588,24.2175
-36.5288,59.2635,24.5651
-37.9459,65.3425,24.2175
-40.7513,65.3311,24.2175
-40.7513,65.3311,25.7738
-37.9459,65.3425,25.7738
-42.1396,59.2497,25.4262
-40.7428,63.2544,25.7738
-40.7309,55.2474,25.7738
-40.7227,53.2303,24.2175
-37.9173,53.2416,24.2175
-37.9173,53.2416,25.7738
-40.7227,53.2303,25.7738
-36.5288,59.2635,25.4262
-37.9255,55.2588,25.7738
-37.9374,63.2657,25.7738
-39.3342,59.2566,20.2599
-39.3342,59.2566,25.4262
-41.0655,59.252,25.0975
-41.0655,59.1552,24.9739
-43.9155,59.1552,24.9739
-43.9155,59.252,25.0975
-41.0655,58.9684,24.9776
-43.9155,58.9684,24.9776
-41.0655,58.8745,25.1049
-43.9155,58.8745,25.1049
-41.0655,58.9695,25.2321
-43.9155,58.9695,25.2321
-41.0655,59.1603,25.2284
-43.9155,59.1603,25.2284
-46.7655,59.1552,24.9739
-46.7655,59.252,25.0975
-46.7655,58.9684,24.9776
-46.7655,58.8745,25.1049
-46.7655,58.9695,25.2321
-46.7655,59.1603,25.2284
-49.6156,59.1552,24.9739
-49.6156,59.252,25.0975
-49.6156,58.9684,24.9776
-49.6156,58.8745,25.1049
-49.6156,58.9695,25.2321
-49.6156,59.1603,25.2284
-52.4656,59.1552,24.9739
-52.4656,59.252,25.0975
-52.4656,58.9684,24.9776
-52.4656,58.8745,25.1049
-52.4656,58.9695,25.2321
-52.4656,59.1603,25.2284
-55.3156,59.1552,24.9739
-55.3156,59.252,25.0975
-55.3156,58.9684,24.9776
-55.3156,58.8745,25.1049
-55.3156,58.9695,25.2321
-55.3156,59.1603,25.2284
-55.3572,62.5811,24.6348
-55.3572,64.6279,24.7661
-55.3572,58.5459,24.7011
-55.3572,56.4919,24.8994
-55.3572,58.5137,25.4392
-55.3572,62.6344,25.3714
-57.43,62.5811,24.6348
-57.43,64.6279,24.7661
-57.43,58.5459,24.7011
-57.43,56.4919,24.8994
-57.43,58.5137,25.4392
-57.43,62.6344,25.3714
-59.5027,62.5811,24.6348
-59.5027,64.6279,24.7661
-59.5027,58.5459,24.7011
-59.5027,56.4919,24.8994
-59.5027,58.5137,25.4392
-59.5027,62.6344,25.3714
-61.5755,62.5811,24.6348
-61.5755,64.6279,24.7661
